display_name,sku,inventory_quantity
Guava Kush - Indoor Flower (55% Sativa),GK-|1/8|FLOWE|393,5
Sherblato - Premium Flower (55% Indica),S-I|1/8TH|FLOWE|392,4
Mandarin Orange OG by JAHnetics - Indoor Flower (60% Indica),MOO|1/8|FLOWE|391,5
Papaya by JAHnetics - Indoor Flower (55% Indica),P-T|1/8|FLOWE|390,6
Gelato 1g Hybrid Cart,G1H|353,3
Gorilla Glue 1g Sativa Cart,GG1|351,4
Chocolate Rice Crispy Treat 420mg,1CR|THC E|333,5
iMini V2 Pro Vape Battery - 650mAH,IVP|318,1
160mg Gummy Worms,N5G|160MG |THC E|315,4
320mg Gummy Worms,NGW|320MG|THC E|314,10
Roulette Bears - 30mg Total,RB-|THC E|307,5
Sour Diesel 90% Sativa - 1g Rick Simpson Oil 900mg,RSO|J|CONCE|251,10
J-Domina 95% Indica - 1g Rick Simpson Oil 900mg THC,RSO|J DOM|CONCE|105,3
Gorilla Glue #4 - Greenhouse Flower (60% Indica),GOR|1/8TH|FLOWE|34,4
Maui Wowie - Fresh Greenhouse Flower (80% Sativa),BLA|1/8TH|FLOWE|5,3
White Gorilla - Indoor Flower (55% Indica),WHI|1/8TH|FLOWE|75,1
SFV OG - Indoor Flower (70% Sativa),SFV|1/8TH|FLOWE|70,2
Snowman by Wiz Khalifa - Indoor Flower (70% Indica),SNO|1/8TH|FLOWE|71,1
Berry White by Wiz Khalifa - Indoor Flower (Indica),BER|1/8TH|FLOWE|4,1
Fruity Crispy 420mg,1FP|THC E|142,5
Harley B Kush - Premium CBD Flower (Hybrid),HAR|1/8TH|FLOWE|42,1
1200mg Grape Drink Syrup,GDS|THC E|144,1
Variety Gummy Sampler Pack - 30mg THC (5mg / Gummy),VGS|THC E|161,1
1 FREE Mini Blue Cookies PreRoll Cone on Next Order w/ ONLINE REVIEW,FRE|1 FRE|FLOWE|1,2
Sublime Lamb's Bread: Sativa - CO2 Extract 500mg Cartridge,SLB|VAPE |206,1
60mg Watermelon Ring,WRG|THC E|163,3
60mg Peach Ring,PSG|THC E|159,3
Sublime GOLD Malibu - Indica Hybrid Girl Scout Cookies (GSC) - 500mg Cartridge,SGM|.5 CAR|VAPE |191,3
Sublime Built-In USB Battery 510 Thread w/ Keychain Loop,SBU|2 BAT|ACCES|263,4
Sublime GOLD Tokyo - Sativa Green Goddess - 500mg Cartridge,SGT|.5 CAR|VAPE |203,4
Sublime OG Kush: Indica-Hybrid CO2 Extract 500mg Cartridge,SOK|VAPE |207,1
Sublime GOLD Rio - Sativa Sour Diesel - 500mg Cartridge,SGR|.5 CARBAT|VAPE |193,2
Blue Cookies Hybrid Mini PreRoll Cones - 100% Organic Flower,BCH|1 CON|JOINT|362,5
no name,FRU|1 CON|FLOWE|20,6
Grandpa’s Breath - 1 Gram Indica Infused Cone - 80% Indoor Flower / 20% Hash,GRA|1 CON|FLOWE|36,8
