display_name,sku,inventory_quantity,line_item_price
Pineapple Kush - Fresh Greenhouse Flower (70% Indica),PK-|395,7,36.0
Sherblato - Premium Flower (55% Indica),S-I|1/8TH|FLOWE|392,2,49.0
Papaya by JAHnetics - Indoor Flower (55% Indica),P-T|1/8|FLOWE|390,4,64.0
SFV OG 1g Hybrid - Green Privilege Cartridge,SO1|343,1,64.0
Chocolate Rice Crispy Treat 420mg,1CR|THC E|333,4,24.0
iMini V2 Pro Vape Battery - 650mAH,IVP|318,1,24.0
160mg Gummy Worms,N5G|160MG |THC E|315,4,16.0
320mg Gummy Worms,NGW|320MG|THC E|314,9,24.0
Roulette Bears - 30mg Total,RB-|THC E|307,3,8.0
15:1 CBD Ringo's Gift - 600mg Cart 510-Thread Brite Labs,11C|VAPE |261,1,39.0
Sour Diesel 90% Sativa - 1g Rick Simpson Oil 900mg,RSO|J|CONCE|251,4,34.0
PAX ERA - Key Lime Cookies - Indica Pod,PE-|VAPE |179,1,49.0
PAX ERA - Orange Creamsicle - Sativa Pod,PE-|VAPE |181,1,49.0
PAX ERA - Tropical Orange Bomb - Sativa Pod,PE-|VAPE |185,1,49.0
PAX ERA - Platinum OG - Indica Pod,PE-|VAPE |182,1,49.0
PAX ERA - Do-Si-Do - Indica Pod,PE-|VAPE |178,1,49.0
Gorilla Glue #4 - Greenhouse Flower (60% Indica),GOR|1/8TH|FLOWE|34,2,34.0
Maui Wowie - Fresh Greenhouse Flower (80% Sativa),BLA|1/8TH|FLOWE|5,2,34.0
Wedding Cake - Indoor Flower (60% Indica),WED|1/8TH|FLOWE|73,2,70.0
White Gorilla - Indoor Flower (55% Indica),WHI|1/8TH|FLOWE|75,1,64.0
SFV OG - Indoor Flower (70% Sativa),SFV|1/8TH|FLOWE|70,2,54.0
Blue Ice - Top Shelf Indoor Flower *EXOTIC* (80% Sativa),BLUICE|1G|FLOWE|13,1,21.0
Snowman by Wiz Khalifa - Indoor Flower (70% Indica),SNO|1/8TH|FLOWE|71,1,59.0
Zookies by Wiz Khalifa - Indoor Flower (Hybrid 50/50),ZOO|1/8TH|FLOWE|78,1,59.0
Berry White by Wiz Khalifa - Indoor Flower (Indica),BER|1/8TH|FLOWE|4,1,59.0
Fruity Crispy 420mg,1FP|THC E|142,3,24.0
Harley B Kush - Premium CBD Flower (Hybrid),HAR|1/8TH|FLOWE|42,5,24.99
Peanut Butter Breath - Indoor Flower (Hybrid 50/50),PEA|1/8TH|FLOWE|68,1,59.0
1200mg Grape Drink Syrup,GDS|THC E|144,1,59.0
1 FREE Mini Blue Cookies PreRoll Cone on Next Order w/ ONLINE REVIEW,FRE|1 FRE|FLOWE|1,4,0.01
Sublime Lamb's Bread: Sativa - CO2 Extract 500mg Cartridge,SLB|VAPE |206,13,16.0
60mg Watermelon Ring,WRG|THC E|163,2,9.0
Hawaiian Gold by JAHnetics - Indoor Flower (Hybrid 50/50),HAW|1/8TH|FLOWE|50,1,49.0
60mg Peach Ring,PSG|THC E|159,1,9.0
Tropical Orange Bomb 600mg Cart 510-Thread Brite Labs,TOB|VAPE |210,1,34.0
PAX ERA - AC/DC 1:1 - CBD:THC Pod,PE-|VAPE |175,1,54.0
PAX ERA - Alien OG - Hybrid Pod,PE-|VAPE |176,1,49.0
PAX ERA - Sunset Sherbet - Hybrid Pod,PE-|VAPE |183,1,49.0
PAX ERA - Mendo Breath - Indica Pod,PE-|VAPE |180,1,49.0
Sublime GOLD Tokyo - Sativa Green Goddess - 500mg Cartridge,SGT|.5 CAR|VAPE |203,8,39.0
Sublime OG Kush: Indica-Hybrid CO2 Extract 500mg Cartridge,SOK|VAPE |207,1,16.0
Sublime GOLD Rio - Sativa Sour Diesel - 500mg Cartridge,SGR|.5 CARBAT|VAPE |193,19,19.0
Blue Cookies Hybrid Mini PreRoll Cones - 100% Organic Flower,BCH|1 CON|JOINT|362,28,10.0
Fruit Bowl - 1 Gram Hybrid Infused Cone - 80% Indoor Flower / 20% Hash,FRU|1 CON|FLOWE|20,16,10.0
Sublime Built-In USB Battery 510 Thread w/ Keychain Loop,SBU|1 BAT|ACCES|269,2,19.0
Grandpa’s Breath - 1 Gram Indica Infused Cone - 80% Indoor Flower / 20% Hash,GRA|1 CON|FLOWE|36,15,10.0
Sublime GOLD Harlem - Indica Granddaddy Purple (GDP) - 500mg Cartridge,SGH|.5 CAR BAT|VAPE |190,6,54.0
Hakku 1 Gram Cartridge 90% - Jack Herer Sativa,H1G|408,2,64.0
Hakku 1 Gram Cartridge 90% - Afghani Indica,H1G|407,4,64.0
Hakku 1 Gram Cartridge 90% - Green Crack Sativa,H1G|403,2,64.0
Hakku 1 Gram Cartridge 90% - Pineapple Express Hybrid,H1G|402,2,64.0
Hakku 1 Gram Cartridge 90% - Strawberry Cough Sativa,H1G|400,1,64.0
