Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pineapple-kush-fresh-greenhouse-flower-70-indica-1,Pineapple Kush - Fresh Greenhouse Flower (70% Indica),"<p>Indica Dominant Hybrid - 70% Indica / 30% Sativa</p>
<p><meta charset=""utf-8"">Pineapple Kush is that rarest of finds on the medical marijuana market: THC levels are around 16% and is a indica-dominant hybrid with 70/30 indica/sativa ratio.</p>
<p>Pineapple Kush is a cannabis strain that carries an aroma of pineapple with accents of caramel and butter. The flavor is described as a subtle sweet pineapple taste with a mint undertone. While the breeder of this strain is unknown, its parent strains are Pineapple and Master Kush. The buds are brown/green in color and covered with amber crystals. The buzz is commonly described as cerebral, with a light body sensation.</p>
<p>The effects are said to be creative, happy, sociable, and mentally focused. Aside from seizures, this strain can be used to treat anxiety, physical fatigue, inflammation, migraines, muscle spasms, nausea, and pain.</p>
<p>The smell is earthy and sweet and the flavor is earthy with hints of chestnut and pineapple. The dense, leafy buds are dark green with brown hairs.</p>
<p>Dry mouth is the most commonly reported side effect, though dry eyes, dizziness, anxiety, and paranoia are also possible. Pineapple Kush can be found at only select dispensaries in Northern California and the Bay Area.<br></p>",Higher Ground Delivery,Flower,Flower,true,Title,Default Title,,,,,PK-|FLOWE|399,0.0,shopify,27,deny,manual,34.00,40.00,true,true,"",https://cdn.shopify.com/s/files/1/0278/5286/5641/products/bbfogbag_02293f92-763a-402b-9f61-c16518ac0e52.png?v=1605031406,1,,false,Higher Ground Delivery: Blue Zkittles- Indoor Flower,"Dispensary delivery, cannabis delivery in San Francisco, San Mateo, Burlingame, San Carlos, Redwood City, Belmont. Blue Zkittles is a Mendocino, California-bred, potent strain. Yielding 20.4% THC Blue Zkittles is blissful, gently sedating, body-soothing and sexually arousing. Blue Zkittles is an Indica-Dominant, end-of-a-long-day hybrid blend of Blue Diamond and Zkittles.",,,,,,,,,,,,,,,lb,,10.15,active
pineapple-kush-fresh-greenhouse-flower-70-indica-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0278/5286/5641/products/pinkush1_f2dd05ad-b55f-412e-8f09-830e45c1e886.png?v=1605031548,2,,,,,,,,,,,,,,,,,,,,,,
2-gram-vape-cart-deal-1g-sd-green-privilege-1g-sd-sublime,2 GRAM VAPE CART DEAL - 1g SD Green Privilege & 1g SD Sublime,"<p> </p>
<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8"">
<p><strong>Green Privilege's FULL GRAM CARTRIDGE of Sour Diesel</strong></p>
<p><span>90%+ THC</span></p>
<p><span>NO Vitamin E / PG / PEG / VG / MCT in ANY of our cartridges!</span></p>
<p> </p>
<p><strong>Sublime Sour Diesel - 2 Sublime Gold Cartridges (1 GRAM TOTAL)</strong></p>
<p>Sublime Gold Cartridges are the optimal vaping experience. Smooth and sweet, Sublime's carts contain cannabinoids and proprietary terpene blends for ""dab-like"" pulls. Glass tips make for refined vaping. Each cart is compatible with most standard vape 510 thread universal batteries.</p>
<p>CO2 extracted, fully metal/glass body (no wick), glass tip, childproof packaging, truly clean medicine all solventless </p>
<p><em>Effects: </em><em>Vibrant, balanced, passionate, jovial</em></p>
<p><em>Rio:</em> Named after a city that knows how to celebrate, this bright sativa hybrid will make you the life of the party. It’s uplifting, radiant and full of energy – best for entertaining or getting those creative juices flowing.</p>",Higher Ground Delivery,Vape Cart,"Cartridge, vape",true,Title,Default Title,,,,,2GV|VAPE |396,0.0,shopify,2,deny,manual,79.00,110.00,true,true,"",https://cdn.shopify.com/s/files/1/0278/5286/5641/products/zkittlez2g_8d735b84-e28b-45ed-b760-6415ce32e6fa.png?v=1605030745,1,,false,,,,,,,,,,,,,,,,,lb,,27.00,active
2-gram-vape-cart-deal-1g-sd-green-privilege-1g-sd-sublime,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0278/5286/5641/products/GPcart_096eb94e-90c8-43ef-9b8c-93f323cfd440.jpg?v=1605030745,2,,,,,,,,,,,,,,,,,,,,,,
2-gram-vape-cart-deal-1g-sd-green-privilege-1g-sd-sublime,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0278/5286/5641/products/ScreenShot2020-04-03at9.21.27PM_f87022c0-f233-4d3f-8611-f7fcfed55021.png?v=1605030745,3,,,,,,,,,,,,,,,,,,,,,,
2-gram-vape-cart-deal-1g-sd-green-privilege-1g-sd-sublime,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0278/5286/5641/products/bluedream2g_1080x_f453276d-6d07-44f2-9c14-738062fab968.png?v=1605030811,4,,,,,,,,,,,,,,,,,,,,,,
pineapple-kush-fresh-greenhouse-flower-70-indica,Pineapple Kush - Fresh Greenhouse Flower (70% Indica),"<p><meta charset=""utf-8""><span>Indica Dominant Hybrid - 70% Indica / 30% Sativa</span></p>
<p>Pineapple Kush is cross between both legendary hybrid strains <meta charset=""utf-8""><span data-mce-fragment=""1"">Pineapple Express and <meta charset=""utf-8"">OG Kush.</span></p>
<p><span data-mce-fragment=""1""><meta charset=""utf-8"">Pineapple Kush is that rarest of finds on the medical marijuana market.</span></p>
<p><span data-mce-fragment=""1"">The effects are said to be creative, happy, sociable, and mentally focused. Aside from seizures, this strain can be used to treat anxiety, physical fatigue, inflammation, migraines, muscle spasms, nausea, and pain. The smell is earthy and sweet and the flavor is earthy with hints of chestnut and pineapple. The dense, leafy buds are dark green with brown hairs. Dry mouth is the most commonly reported side effect, though dry eyes, dizziness, anxiety, and paranoia are also possible. Pineapple Kush can be found at select dispensaries in Northern California and the Bay Area.</span></p>
<p>Pineapple Express combines the potent and flavorful forces of parent strains Trainwreck and Hawaiian. The smell is likened to fresh apple and mango, with a taste of pineapple, pine, and cedar. This hard-hitting hybrid provides a long-lasting energetic buzz perfect for productive afternoons and creative escapes.</p>
<p>OG Kush was first cultivated in Florida, in the early ‘90s when a strain from Northern California was crossed with a Hindu Kush plant from Amsterdam. The result was a hybrid with a unique terpene profile that boasts a complex aroma with notes of fuel, skunk, and spice. <br><br>The genetic backbone of West Coast cannabis varieties, OG Kush arrived in Los Angeles in 1996 when Matt “Bubba” Berger brought it (along with “The Bubba,” which was later used to create the famed Bubba Kush) from Florida to legendary cultivator Josh D. Since then, OG Kush has become a worldwide staple used to create numerous famous strains like GSC and Headband. There are many different phenotypes of OG Kush, including Tahoe OG, SFV OG, and Ghost OG.</p>
<p><meta charset=""utf-8""><br></p>",The Sensi Society,"","",false,Title,Default Title,,,,,PK-|395,0.0,shopify,51,deny,manual,36.00,,true,true,"",https://cdn.shopify.com/s/files/1/0278/5286/5641/products/blackberrypic.png?v=1604279434,1,,false,,,,,,,,,,,,,,,,,lb,,,draft
pineapple-kush-fresh-greenhouse-flower-70-indica,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0278/5286/5641/products/pinkush1.png?v=1604282250,2,,,,,,,,,,,,,,,,,,,,,,
guava-kush-indoor-flower-55-indica,Guava Kush - Indoor Flower (55% Sativa),"<meta charset=""utf-8""><meta charset=""utf-8"">
<p>Sativa Dominant Hybrid - 55% Sativa / 45% Indica</p>
<p>THC: 21%, CBD: 1%</p>
<p> </p>
<p>The sativa-dominant hybrid cannabis strain dubbed <strong>Guava Kush</strong> is a strain that competed in the 2014 L.A. Cannabis Cup. Its scent and taste are reminiscent of its name, being quite tropical and sweet. When harvest-ready, its buds are a faded mossy green due to the plethora of trichomes it harbors while having sparse vivid orange pistils.<br><br>Its high has been described by reviewers as allowing relaxation into the body for nearly any given situation, while sparking creativity that can be transformed into intriguing conversation.<br><br>A warm/tingling sensation may spread throughout the body while it relaxes as some have experienced, and both chronic pain and insomnia have been treated using this strain. For others, sleep was possible as the high wore down.<br><br>Negative side-effects that reviewers have noted include cottonmouth, dry eyes, and occasionally paranoia when consuming above tolerance levels.</p>
<p> </p>
<p><em>Effects:</em> Creative, Euphoria, Happy, Hungry, Relaxing, Sleepy, Sociable<br><em></em></p>
<p><em>May Relieve:</em> Anorexia, Arthritis, Asthma, Chronic Pain, Depression, Fatigue, Insomnia, Migraines, Stress<br><em></em></p>
<p><em>Flavors:</em> Citrus, Fruity, Herbal, Lime, Sweet, Tropical, Woody<br><em></em></p>
<p><em>Aromas:</em> Citrus, Earthy, Orange, Sweet</p>
<p> </p>
<p> </p>
<p><em>What is Guava Kush?</em><br>The Guava Kush strain is renown for its deliciously sweet and tropical scent that’s reminiscent of guavas, and reviewers enjoy its reputed relaxing effects and creative enhancement.<br><br><em>What does Guava Kush mean?</em><br>This strain’s name comes from both its distinct scent and flavor, which is reminiscent of guava, and its Kush heritage.<br><br><em>What does Guava Kush smell like?</em><br>As its name implies, Guava Kush smells like Guavas with a bit of citrus and lavender intertwined – from its Kush heritage. <br><br><em>What does Guava Kush taste like?</em><br>The taste of Guava Kush is similar to its scent but less pronounced and it offers an earthen/soil-like exhale. <br><br><em>What colors does Guava Kush have?</em><br>Some have referred to this strain as the Guava Cake strain due to its colorful appearance, showing off a deep green accompanied by frosty blue tips and a thick layer of trichomes that lighten its tones. Burnt orange pistils easily stand out against the other colors.<br><br><em>What effects does Guava Kush come from?</em><br>Some have experienced a warm/tingling sensation that may spread throughout the body and causes relaxation. Chronic pain and insomnia have been treated using this strain according to some of its fans. For others, sleep was possible as the high wore down.<br><br><em>Where does Guava Kush come from?</em><br>This Guava weed’s parents currently remain unknown. <br><br><em>Is Guava Kush an indica, sativa or hybrid strain?</em><br>The Guava Kush strain is a hybrid.</p>
<p> </p>",Higher Ground Delivery,Flower,Flower,true,Title,Default Title,,,,,GK-|1/8|FLOWE|393,0.0,shopify,0,deny,manual,64.00,,true,true,,https://cdn.shopify.com/s/files/1/0278/5286/5641/products/guava-kush-close-up.png?v=1597166784,1,,false,Higher Ground Delivery: Blue Zkittles- Indoor Flower,"Dispensary delivery, cannabis delivery in San Francisco, San Mateo, Burlingame, San Carlos, Redwood City, Belmont. Blue Zkittles is a Mendocino, California-bred, potent strain. Yielding 20.4% THC Blue Zkittles is blissful, gently sedating, body-soothing and sexually arousing. Blue Zkittles is an Indica-Dominant, end-of-a-long-day hybrid blend of Blue Diamond and Zkittles.",,,,,,,,,,,,,,,lb,,3.57,active
guava-kush-indoor-flower-55-indica,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0278/5286/5641/products/Guava-Kush.png?v=1597166784,2,,,,,,,,,,,,,,,,,,,,,,
